Name,City,Rating,Price,Reviews,Location,Cleanliness,Communication,Value for Money,Accuracy,Check-in,Guests,TV,Wifi,Free street parking,Privet parking,Refrigerator,Air conditioning,Kitchen,Pets allowd,Dedicated workspace,Security cameras
"J&J's BnB Lovely,  BR/Bath w/ Private Entrance!",Medford,4.93,13371,15,4.9,5.0,4.8,4.8,4.9,4.9,2.0,0,0,0,1,0,0,0,0,1,0
"Room for residents at nearby colleges, hospitals",Medford,4.97,4556,30,4.8,5.0,5.0,4.9,5.0,5.0,1.0,0,1,0,1,0,0,1,0,1,0
"Cozy bedroom in Suffolk, LI",Medford,5.0,3728,5,4.4,5.0,5.0,5.0,5.0,5.0,1.0,0,1,1,0,0,1,0,0,0,0
Waterfront DuneRd WHB Village Private Ocean Access,Medford,5.0,264043,3,5.0,5.0,5.0,5.0,5.0,5.0,8.0,0,1,0,0,0,0,1,0,1,0
Bellport Beach Estates Private Cottage with Pool,Medford,4.85,48149,41,5.0,4.7,5.0,4.8,5.0,5.0,4.0,0,1,0,1,0,0,1,0,0,0
Spectacular Southampton Retreat!,Medford,4.67,132539,3,4.7,4.7,5.0,4.7,4.7,5.0,10.0,0,1,0,1,0,0,1,0,1,0
Enjoy Privacy in Protected Wetlands,Medford,5.0,51773,5,4.8,4.8,5.0,4.8,5.0,5.0,6.0,0,1,0,1,0,0,1,0,1,0
Beach House Feel - newly renovated backyard Oasis,Medford,4.98,95608,96,4.8,5.0,5.0,4.9,5.0,5.0,7.0,0,1,0,1,0,0,1,0,1,0
Hutson Cottage,Medford,4.94,83505,17,4.9,4.9,5.0,4.9,4.9,5.0,4.0,0,1,0,0,0,0,1,0,1,0
Serene Beach Oasis w/ HotTub & Salt Water htd Pool,Medford,5.0,93192,6,4.8,5.0,5.0,5.0,5.0,5.0,6.0,0,1,0,0,0,0,1,0,1,0
Scandinavian family home on the water,Medford,4.88,124256,8,5.0,5.0,5.0,4.9,4.8,5.0,6.0,0,1,0,0,0,0,1,0,1,0
68 Ocean Breeze,Medford,5.0,36241,8,5.0,5.0,5.0,5.0,4.9,5.0,6.0,0,0,0,1,0,0,1,0,1,0
Private Waterfront Hamptons Cottage,Medford,5.0,30912,18,5.0,4.9,5.0,4.9,5.0,5.0,2.0,0,1,0,1,0,0,1,0,0,0
Bright and tranquil north fork coastal oasis!,Medford,5.0,46672,19,5.0,5.0,5.0,4.8,5.0,5.0,6.0,0,0,0,0,0,0,1,0,1,0
Waterfront Relaxation in Westhampton,Medford,5.0,81974,8,4.9,4.6,5.0,4.6,5.0,5.0,6.0,0,1,0,1,0,0,1,0,1,0
